,DHI,DNI,WS,RH,T,TARGET
291,0,0,3.3,59.52,-1.2,0.0
292,0,0,3.4,58.27,-1.1,0.0
293,0,0,3.3,57.77,-1.0,0.0
294,0,0,3.3,56.41,-0.8,0.0
295,0,0,3.2,56.41,-0.8,0.0
296,0,0,3.2,55.9,-0.7,0.0
297,0,0,3.2,55.09,-0.5,0.0
298,0,0,3.1,55.6,-0.4,0.0
299,0,0,3.0,54.8,-0.2,0.0
300,0,0,2.9,56.05,-0.1,0.0
301,0,0,2.8,55.25,0.1,0.0
302,0,0,2.7,56.83,0.2,0.0
303,12,92,2.6,52.5,1.3,1.407698051
304,36,315,2.6,55.38,2.3,6.663030879
305,45,686,2.5,51.23,3.4,16.61045364
306,54,719,2.4,53.84,4.6,22.99156763
307,57,834,2.2,50.58,5.5,31.24945424
308,65,846,2.0,48.31,6.5,36.87958121
309,109,654,1.8,45.99,7.2,36.87929748
310,150,512,1.5,45.14,7.9,36.59749456
311,88,822,1.2,43.88,8.3,46.26278332
312,77,890,0.9,42.61,8.8,49.26537074
313,72,956,0.7,42.33,8.9,51.79896144
314,70,929,0.4,43.34,9.0,49.17142385
315,68,885,0.5,44.82,8.5,44.85509497
316,65,852,0.6,55.28,8.0,40.16336014
317,56,834,0.7,59.18,7.0,34.81488407
318,57,768,0.9,59.0,5.9,28.3402213
319,65,552,1.0,64.12,4.7,19.14397813
320,50,454,1.1,58.3,3.4,12.19976821
321,31,298,1.1,58.3,3.4,5.536817879
322,8,62,1.2,59.87,1.2,0.8446197590000001
323,0,0,1.2,62.96,0.5,0.0
324,0,0,1.2,62.26,-0.1,0.0
325,0,0,1.3,64.1,-0.5,0.0
326,0,0,1.4,63.51,-0.9,0.0
327,0,0,1.7,63.43,-0.9,0.0
328,0,0,1.9,62.03,-1.0,0.0
329,0,0,2.4,61.51,-0.9,0.0
330,0,0,2.9,58.69,-0.8,0.0
331,0,0,3.3,58.62,-0.8,0.0
332,0,0,3.8,56.88,-0.9,0.0
333,0,0,4.2,56.81,-0.9,0.0
334,0,0,4.7,55.7,-1.0,0.0
335,0,0,5.0,54.42,-0.7,0.0
288,0,0,2.7,57.37,-6.7,0.0
289,0,0,2.7,57.37,-6.7,0.0
290,0,0,2.7,57.09,-6.6,0.0
291,0,0,2.6,57.46,-6.7,0.0
292,0,0,2.6,57.63,-6.7,0.0
293,0,0,2.6,58.52,-6.9,0.0
294,0,0,2.6,58.43,-7.0,0.0
295,0,0,2.7,58.88,-7.1,0.0
296,0,0,2.7,58.94,-7.2,0.0
297,0,0,2.7,59.4,-7.3,0.0
298,0,0,2.7,59.46,-7.3,0.0
299,0,0,2.7,59.46,-7.3,0.0
300,0,0,2.7,59.48,-7.2,0.0
301,0,0,3.0,54.32,-6.0,0.0
302,21,213,3.2,56.19,-4.8,3.097143327
303,46,365,3.2,49.47,-3.1,9.385107476
304,69,482,3.3,52.13,-1.3,17.36210538
305,81,603,2.9,46.4,0.3,26.08962393
306,72,832,2.4,49.01,1.9,38.2891345
307,89,844,1.9,43.76,3.5,45.8898469
308,125,760,1.5,40.99,5.0,49.83048465
309,133,770,1.2,38.51,5.9,54.61592317
310,103,932,1.0,36.78,6.8,63.99946935
311,102,953,0.9,35.78,7.2,67.37744425
312,116,896,0.8,35.1,7.7,66.34483469
313,111,915,0.7,34.62,7.9,67.00156696
314,93,990,0.6,34.93,8.1,68.6905311
315,104,899,0.6,35.41,7.9,62.02806129
316,88,950,0.5,36.98,7.7,60.05755898
317,82,958,0.6,38.79,7.0,55.4598288
318,82,890,0.7,45.79,6.3,46.92068992
319,95,707,0.9,49.41,5.2,35.37862791
320,77,629,1.0,53.76,4.1,26.18237803
321,53,614,1.0,53.76,4.1,18.48719883
322,38,474,1.0,56.15,1.2,9.947743824
323,21,342,1.0,61.75,-0.1,3.566223264
324,0,0,1.0,60.9,-1.3,0.0
325,0,0,1.0,65.07,-2.2,0.0
326,0,0,1.1,67.24,-3.0,0.0
327,0,0,1.3,69.27,-3.4,0.0
328,0,0,1.5,69.21,-3.7,0.0
329,0,0,2.0,69.73,-3.8,0.0
330,0,0,2.4,67.61,-3.9,0.0
331,0,0,2.7,68.64,-4.1,0.0
332,0,0,3.0,66.6,-4.4,0.0
333,0,0,3.1,67.1,-4.5,0.0
334,0,0,3.1,64.69,-4.6,0.0
335,0,0,3.1,65.18,-4.7,0.0
288,0,0,2.2,67.95,-14.2,0.0
289,0,0,2.4,69.08,-14.4,0.0
290,0,0,2.6,64.73,-14.7,0.0
291,0,0,2.7,64.73,-14.7,0.0
292,0,0,2.8,61.99,-14.8,0.0
293,0,0,2.8,60.98,-14.6,0.0
294,0,0,2.9,59.82,-14.4,0.0
295,0,0,2.8,58.84,-14.2,0.0
296,0,0,2.8,59.22,-14.0,0.0
297,0,0,2.7,58.74,-13.9,0.0
298,0,0,2.7,59.1,-13.7,0.0
299,0,0,2.6,57.2,-13.3,0.0
300,0,0,2.6,57.63,-12.9,0.0
301,18,81,2.4,48.31,-10.7,2.064896091
302,47,314,2.2,55.82,-8.4,8.728658317999999
303,55,711,2.0,45.0,-5.6,21.30477928
304,57,861,1.8,54.05,-2.7,32.2846278
305,65,937,1.2,48.75,-1.3,42.98294198
306,76,961,0.5,46.15,0.2,51.99160986
307,78,1011,0.5,43.88,0.9,61.09436397
308,82,1031,0.5,47.31,1.6,68.32005347
309,87,1045,0.5,45.33,2.2,74.32572191
310,143,905,0.6,43.86,2.9,73.85592569
311,169,856,0.6,42.34,3.4,74.88780792
312,129,962,0.6,40.79,3.9,79.4857453
313,110,1021,0.5,39.67,4.3,81.54995161
314,94,1052,0.5,39.13,4.7,80.70500583
315,101,1011,0.6,38.59,4.9,75.91884442
316,100,987,0.8,38.86,5.1,70.47580573
317,85,1006,1.1,39.13,5.0,65.31453356
318,79,982,1.3,41.17,4.8,57.61955712
319,73,949,1.3,42.93,4.2,48.89248732
320,66,903,1.3,51.02,3.6,39.32070495
321,57,836,1.3,51.02,3.6,29.09169101
322,46,729,0.8,62.22,-0.3,18.6757892
323,33,545,0.7,68.5,-1.6,8.821855604
324,13,148,0.6,57.26,-2.9,1.407763027
325,0,0,0.6,59.87,-3.5,0.0
326,0,0,0.6,59.8,-4.1,0.0
327,0,0,1.0,62.09,-4.6,0.0
328,0,0,1.4,63.86,-5.2,0.0
329,0,0,1.6,65.33,-5.5,0.0
330,0,0,1.8,64.9,-5.8,0.0
331,0,0,1.9,65.9,-6.0,0.0
332,0,0,2.1,64.24,-6.1,0.0
333,0,0,2.2,64.73,-6.2,0.0
334,0,0,2.3,63.3,-6.3,0.0
335,0,0,2.3,63.3,-6.3,0.0
288,0,0,1.1,58.67,17.7,0.0
289,0,0,1.2,59.78,17.4,0.0
290,0,0,1.2,60.42,17.0,0.0
291,0,0,1.3,61.19,16.8,0.0
292,0,0,1.4,61.4,16.5,0.0
293,0,0,1.5,62.18,16.3,0.0
294,0,0,1.6,61.59,16.1,0.0
295,0,0,1.7,62.38,15.9,0.0
296,0,0,1.9,61.31,15.8,0.0
297,0,0,2.1,59.01,16.4,0.0
298,3,25,2.4,56.45,17.0,0.187660688
299,23,318,2.8,50.11,18.9,4.222277303
300,39,530,3.3,44.41,20.8,11.72830311
301,49,661,2.7,38.39,23.2,20.64126891
302,58,747,2.2,30.29,25.5,30.21054793
303,64,808,1.6,26.94,27.5,39.77947423
304,70,852,0.9,20.39,29.5,49.16034482
305,74,885,0.9,19.35,30.4,57.97861165
306,78,908,1.0,18.56,31.4,66.0461066
307,83,924,1.2,17.85,32.1,73.17552088
308,251,536,1.4,17.46,32.8,64.26262315
309,143,846,1.7,16.97,33.3,81.33633286
310,269,401,1.9,16.62,33.8,58.72694866
311,366,137,2.1,16.41,34.0,46.06209008
312,375,420,2.3,16.28,34.3,71.39131352
313,387,211,2.5,16.28,34.3,54.41125078
314,395,343,2.6,16.61,34.2,66.04407355
315,325,295,2.7,16.79,34.0,54.59905586
316,233,661,2.7,17.08,33.8,73.45559233
317,147,804,2.7,17.56,33.3,72.61167432
318,172,710,2.6,17.71,32.9,63.98111067
319,192,614,2.5,18.32,32.3,55.35059281
320,210,398,2.3,18.56,31.8,40.99718986
321,134,483,2.3,18.56,31.8,34.52394936
322,98,623,1.7,21.53,30.2,32.17913838
323,84,517,1.3,23.87,28.4,22.42264216
324,64,396,0.9,36.24,26.6,13.60396422
325,40,248,1.1,39.13,25.3,6.286059508999998
326,9,47,1.2,41.23,23.9,0.938232276
327,0,0,1.5,42.99,23.2,0.0
328,0,0,1.8,44.38,22.6,0.0
329,0,0,2.2,45.74,22.1,0.0
330,0,0,2.6,47.56,21.5,0.0
331,0,0,2.9,48.44,21.2,0.0
332,0,0,3.2,50.32,20.9,0.0
333,0,0,3.4,50.94,20.7,0.0
334,0,0,3.6,52.14,20.5,0.0
335,0,0,3.5,52.79,20.3,0.0
288,0,0,2.0,87.14,16.9,0.0
289,0,0,1.9,87.7,16.8,0.0
290,0,0,1.8,86.36,16.7,0.0
291,0,0,1.6,86.91,16.6,0.0
292,0,0,1.4,85.93,16.5,0.0
293,0,0,1.2,87.58,16.2,0.0
294,0,0,0.9,86.77,15.9,0.0
295,0,0,0.9,88.44,15.6,0.0
296,0,0,0.8,86.99,15.3,0.0
297,0,0,0.9,83.72,15.9,0.0
298,8,52,1.0,82.07,16.5,0.8444777379999999
299,33,257,1.3,75.71,17.8,5.535941622
300,51,490,1.6,72.65,19.0,13.69892908
301,64,615,1.8,65.01,20.8,22.6121684
302,72,705,2.0,52.7,22.6,31.99417783
303,79,768,2.2,47.58,24.3,41.46968427
304,83,816,2.3,36.45,26.1,50.56949669
305,89,851,2.3,33.98,27.3,59.29406365
306,92,878,2.2,30.85,28.4,67.26792648
307,95,898,2.3,29.29,29.3,74.3035853
308,98,913,2.3,27.53,30.3,80.40084920000002
309,96,929,2.5,26.46,31.0,85.37247344
310,93,943,2.7,25.73,31.7,89.12442377
311,96,943,2.8,25.3,32.0,91.37568679
312,100,939,3.0,25.17,32.4,92.12580065
313,182,807,3.1,25.03,32.5,87.99786763
314,231,743,3.3,25.75,32.5,85.8401374
315,110,902,3.2,26.34,32.1,85.93432965
316,117,876,3.1,27.76,31.8,81.15004401
317,118,851,3.0,28.88,31.1,75.24027299
318,158,740,2.9,31.44,30.4,66.42209878
319,153,210,2.8,33.68,29.2,27.6762396
320,236,342,2.8,38.69,28.0,41.28035956
321,152,101,2.8,38.69,28.0,19.1390758
322,60,13,2.8,48.46,25.6,6.192217304
323,105,151,2.6,51.11,24.7,14.54247239
324,59,73,2.3,58.82,23.8,7.130573139
325,23,0,2.1,63.23,22.6,2.1579650740000003
326,7,0,1.9,68.57,21.4,0.6567806429999999
327,0,0,2.1,70.27,21.0,0.0
328,0,0,2.3,72.7,20.6,0.0
329,0,0,2.5,74.05,20.3,0.0
330,0,0,2.8,75.28,20.1,0.0
331,0,0,3.0,75.75,20.0,0.0
332,0,0,3.2,75.26,19.9,0.0
333,0,0,3.5,75.63,19.8,0.0
334,0,0,3.8,73.79,19.7,0.0
335,0,0,3.9,74.71,19.5,0.0
288,0,0,2.6,48.76,16.0,0.0
289,0,0,2.6,49.38,15.8,0.0
290,0,0,2.6,46.7,15.6,0.0
291,0,0,2.7,46.7,15.6,0.0
292,0,0,2.7,42.35,15.5,0.0
293,0,0,2.7,42.35,15.5,0.0
294,0,0,2.6,38.64,15.4,0.0
295,0,0,2.5,39.13,15.2,0.0
296,0,0,2.4,38.2,15.0,0.0
297,0,0,2.3,37.72,15.2,0.0
298,0,0,2.3,37.73,15.4,0.0
299,18,230,2.7,32.82,17.6,2.627232308
300,35,528,3.1,28.84,19.8,10.13336528
301,45,681,3.0,25.36,21.9,19.32800982
302,52,779,2.8,21.84,24.1,29.08513662
303,58,843,2.6,19.63,25.9,39.02960459
304,62,889,2.4,15.73,27.7,48.59840176
305,66,922,2.3,15.02,28.5,57.69836724
306,69,947,2.2,13.94,29.4,66.04755877
307,71,965,2.2,13.47,30.0,73.36484415
308,74,978,2.1,13.16,30.7,79.64996593
309,75,988,2.2,12.72,31.3,84.62166711
310,75,996,2.2,12.61,31.9,88.37370799
311,100,954,2.3,12.32,32.3,89.21765045
312,76,999,2.3,12.42,32.7,91.5626119
313,116,921,2.4,12.27,32.9,88.37273644
314,130,886,2.6,12.39,33.1,85.27668874
315,142,846,2.8,12.46,33.0,80.77371807
316,89,948,3.0,12.53,33.0,80.30464886
317,148,795,3.1,12.75,32.7,70.36061365
318,76,931,3.3,12.95,32.4,67.73404081
319,75,901,3.3,13.4,31.8,59.57257566
320,71,868,3.3,13.87,31.2,50.75429294
321,99,686,3.3,13.87,31.2,38.55825212
322,67,719,2.6,16.53,29.3,30.77219189
323,56,633,1.9,19.0,26.9,21.20335017
324,48,395,1.2,30.38,24.5,10.88342262
325,25,217,1.2,33.24,23.0,3.846790391
326,2,14,1.2,35.85,21.6,0.1876512
327,0,0,1.3,37.23,21.0,0.0
328,0,0,1.3,39.71,20.5,0.0
329,0,0,1.3,40.95,20.0,0.0
330,0,0,1.2,45.41,19.5,0.0
331,0,0,1.0,46.84,19.0,0.0
332,0,0,0.9,51.83,18.5,0.0
333,0,0,0.7,52.81,18.2,0.0
334,0,0,0.6,55.08,17.9,0.0
335,0,0,0.7,56.77,17.4,0.0
288,0,0,2.2,53.12,-4.9,0.0
289,0,0,2.3,53.52,-5.0,0.0
290,0,0,2.4,52.59,-5.1,0.0
291,0,0,2.4,52.59,-5.1,0.0
292,0,0,2.3,52.76,-5.1,0.0
293,0,0,2.2,53.16,-5.2,0.0
294,0,0,2.0,54.2,-5.3,0.0
295,0,0,1.8,55.02,-5.5,0.0
296,0,0,1.7,55.92,-5.6,0.0
297,0,0,1.6,56.35,-5.7,0.0
298,0,0,1.4,57.11,-5.8,0.0
299,0,0,1.4,57.55,-5.9,0.0
300,0,0,1.3,57.65,-5.9,0.0
301,0,0,1.3,57.21,-5.8,0.0
302,0,0,1.3,57.25,-5.7,0.0
303,19,382,1.7,52.28,-4.5,3.378690673
304,29,654,2.2,49.92,-3.3,10.4174922
305,37,783,2.5,45.67,-2.1,18.20690842
306,61,639,2.8,43.85,-1.0,21.77294686
307,75,646,3.1,40.48,0.1,26.84046347
308,86,674,3.3,39.83,1.1,31.81404587
309,84,752,3.5,37.62,1.9,37.06913757
310,123,615,3.7,38.34,2.6,36.97500719
311,104,722,3.8,36.96,3.1,40.72859122
312,98,747,4.0,38.13,3.5,41.47916632
313,76,826,3.9,37.87,3.6,42.13602988
314,63,902,3.8,39.14,3.7,42.41751576
315,59,906,3.6,39.42,3.6,39.41454911
316,55,904,3.3,41.15,3.5,35.28544465
317,50,861,2.7,42.98,2.9,29.09191482
318,57,638,2.0,48.93,2.2,19.61373217
319,49,427,1.6,52.93,1.1,11.3554559
320,30,326,1.1,53.65,0.0,5.537024773
321,8,71,1.1,53.65,0.0,0.844630898
322,0,0,1.0,54.22,-0.8,0.0
323,0,0,1.2,55.83,-1.2,0.0
324,0,0,1.3,56.2,-1.7,0.0
325,0,0,1.6,57.88,-2.1,0.0
326,0,0,1.9,57.85,-2.5,0.0
327,0,0,2.2,57.92,-2.5,0.0
328,0,0,2.5,56.35,-2.5,0.0
329,0,0,2.7,55.94,-2.4,0.0
330,0,0,2.8,54.96,-2.4,0.0
331,0,0,2.8,54.96,-2.4,0.0
332,0,0,2.8,54.27,-2.5,0.0
333,0,0,2.8,54.67,-2.6,0.0
334,0,0,2.8,53.64,-2.7,0.0
335,0,0,2.8,53.97,-2.8,0.0
288,0,0,0.7,65.33,11.2,0.0
289,0,0,0.7,66.2,11.0,0.0
290,0,0,0.7,66.04,10.9,0.0
291,0,0,0.7,66.93,10.7,0.0
292,0,0,0.7,66.96,10.6,0.0
293,0,0,0.7,68.77,10.2,0.0
294,0,0,0.6,69.9,9.9,0.0
295,0,0,0.6,70.84,9.7,0.0
296,0,0,0.6,72.08,9.4,0.0
297,0,0,0.6,72.57,9.3,0.0
298,0,0,0.6,72.91,9.2,0.0
299,14,80,0.6,65.53,10.8,1.5013878180000002
300,45,294,0.7,59.34,12.3,7.69448571
301,70,460,0.4,52.1,14.3,16.13929816
302,87,582,0.2,44.24,16.2,25.52207803
303,100,671,0.6,39.49,18.0,35.27982159
304,108,741,1.1,32.78,19.7,44.94340096
305,116,791,1.4,30.26,21.0,54.13772815
306,118,832,1.7,26.09,22.3,62.48736864
307,122,861,1.9,24.42,23.4,69.99251252
308,123,885,2.1,21.63,24.5,76.37160357
309,125,901,2.4,20.5,25.4,81.53104042
310,127,912,2.6,18.67,26.3,85.37688463
311,129,917,2.9,18.0,26.9,87.72182483
312,128,919,3.1,16.8,27.6,88.5655245
313,142,896,3.3,16.49,27.9,87.53322229
314,129,908,3.5,15.81,28.3,85.84410097
315,138,879,3.7,15.81,28.3,81.80989732
316,134,863,4.0,16.03,28.3,76.83750677
317,135,834,4.1,16.31,28.0,70.55188725
318,212,603,4.2,17.68,27.6,58.16803516
319,180,599,4.3,18.41,26.9,50.85051236
320,126,692,4.3,20.72,26.2,45.78457747
321,126,560,4.3,20.72,26.2,34.71371653
322,123,330,4.0,26.21,24.0,22.14225738
323,82,310,3.5,29.39,22.1,14.91818837
324,49,235,3.0,36.6,20.2,7.881471672999999
325,19,96,2.8,39.91,18.8,2.251883704
326,0,0,2.6,45.03,17.5,0.0
327,0,0,2.4,46.82,16.9,0.0
328,0,0,2.2,50.3,16.3,0.0
329,0,0,2.3,51.93,15.8,0.0
330,0,0,2.4,54.26,15.2,0.0
331,0,0,2.7,55.31,14.9,0.0
332,0,0,3.0,55.48,14.5,0.0
333,0,0,3.1,56.2,14.3,0.0
334,0,0,3.2,54.87,14.0,0.0
335,0,0,3.2,55.58,13.8,0.0
288,0,0,1.8,69.92,-1.9,0.0
289,0,0,1.8,69.92,-1.9,0.0
290,0,0,1.9,67.88,-2.0,0.0
291,0,0,1.9,68.39,-2.1,0.0
292,0,0,2.0,67.41,-2.1,0.0
293,0,0,2.0,67.91,-2.2,0.0
294,0,0,2.0,68.16,-2.3,0.0
295,0,0,1.9,68.66,-2.4,0.0
296,0,0,1.9,69.39,-2.6,0.0
297,0,0,1.8,69.39,-2.6,0.0
298,0,0,1.7,69.47,-2.7,0.0
299,0,0,1.8,65.48,-1.9,0.0
300,7,73,1.8,65.49,-1.0,0.656942362
301,30,446,1.9,55.84,1.2,6.756958069
302,42,656,2.0,53.46,3.4,15.85969867
303,52,774,1.3,47.14,5.2,25.90053396
304,59,849,0.6,43.82,7.1,35.84709191
305,66,900,0.9,41.22,8.0,45.51221885
306,71,935,1.2,38.84,9.0,54.33254658
307,75,958,1.3,37.56,9.5,62.12080859
308,80,975,1.5,36.72,10.1,68.87669609
309,196,697,1.6,36.23,10.3,65.40456627
310,354,364,1.7,36.76,10.5,58.92966618
311,234,709,1.7,36.52,10.6,73.56816482
312,312,503,1.7,37.45,10.7,66.34264714
313,285,140,1.6,37.7,10.6,37.06559325
314,181,11,1.5,39.23,10.5,17.73520208
315,236,102,1.3,40.02,10.2,29.18341817
316,284,468,1.1,42.02,10.0,57.14707632
317,275,359,1.0,43.45,9.5,47.4820682
318,226,123,1.0,46.85,9.0,27.87006275
319,140,76,1.0,48.52,8.5,16.70336172
320,47,0,1.1,53.78,7.9,4.410467293
321,63,6,1.1,53.78,7.9,6.099582426
322,47,0,0.6,65.87,6.2,4.410549700000002
323,25,0,0.6,70.1,5.3,2.34606028
324,8,0,0.6,69.74,4.4,0.750746716
325,0,0,0.7,72.82,3.8,0.0
326,0,0,0.7,72.89,3.3,0.0
327,0,0,0.8,74.98,2.9,0.0
328,0,0,0.8,74.98,2.4,0.0
329,0,0,0.9,77.14,2.0,0.0
330,0,0,0.9,75.67,1.6,0.0
331,0,0,1.0,78.43,1.1,0.0
332,0,0,1.1,76.49,0.6,0.0
333,0,0,1.3,78.16,0.3,0.0
334,0,0,1.4,75.56,-0.1,0.0
335,0,0,1.4,77.32,-0.4,0.0
288,0,0,2.6,59.58,14.0,0.0
289,0,0,2.4,63.17,13.1,0.0
290,0,0,2.2,70.01,12.2,0.0
291,0,0,1.7,72.35,11.7,0.0
292,0,0,1.3,75.58,11.2,0.0
293,0,0,1.2,76.59,11.0,0.0
294,0,0,1.1,76.56,10.8,0.0
295,0,0,1.0,77.07,10.7,0.0
296,0,0,0.9,75.85,10.6,0.0
297,0,0,1.1,70.53,11.7,0.0
298,17,182,1.2,65.48,12.8,2.345866898
299,36,452,0.7,59.03,14.4,8.914137442000001
300,48,610,0.3,51.31,16.0,17.26497309
301,57,712,0.8,45.79,17.8,26.45992437
302,64,783,1.3,39.17,19.6,35.93599476
303,70,834,1.6,35.5,21.2,45.41178998
304,74,873,1.9,30.49,22.8,54.51195441
305,78,901,2.1,28.2,24.1,63.14289338
306,81,922,2.3,25.95,25.3,70.92926849
307,85,939,2.5,24.32,26.4,77.96495949
308,87,951,2.8,23.03,27.4,83.87473834
309,89,961,3.0,21.83,28.3,88.75248035
310,88,968,3.2,21.1,29.1,92.22296079
311,90,970,3.4,20.5,29.6,94.47407024
312,91,969,3.6,20.16,30.2,95.22398092
313,93,964,3.8,19.82,30.5,94.66076835
314,96,955,3.9,20.0,30.8,92.69031782
315,95,946,4.0,20.11,30.7,89.40685222
316,94,935,4.2,20.79,30.7,84.90367393
317,95,916,4.1,21.15,30.4,79.181146
318,94,892,4.1,22.68,30.0,72.33285785
319,93,863,3.9,23.47,29.4,64.64029545
320,92,825,3.7,25.61,28.8,56.19708617
321,86,788,3.7,25.61,28.8,47.37817782
322,82,727,3.1,29.56,27.3,37.99698699
323,76,645,2.6,31.71,26.1,28.52157142
324,66,542,2.0,38.97,25.0,19.42117328
325,50,399,1.7,42.88,23.4,10.97737797
326,29,211,1.4,49.31,21.9,4.222138067
327,4,24,1.6,51.15,21.3,0.375303637
328,0,0,1.8,52.61,20.7,0.0
329,0,0,2.0,54.25,20.2,0.0
330,0,0,2.2,56.74,19.7,0.0
331,0,0,2.3,58.53,19.2,0.0
332,0,0,2.3,61.44,18.8,0.0
333,0,0,2.3,62.99,18.4,0.0
334,0,0,2.4,65.93,18.1,0.0
335,0,0,2.4,66.76,17.9,0.0
288,0,0,1.0,64.94,-5.1,0.0
289,0,0,1.0,64.94,-5.1,0.0
290,0,0,1.0,64.8,-5.2,0.0
291,0,0,1.0,64.8,-5.2,0.0
292,0,0,0.9,63.84,-5.1,0.0
293,0,0,0.8,64.32,-5.2,0.0
294,0,0,0.8,63.26,-5.2,0.0
295,0,0,0.8,63.26,-5.2,0.0
296,0,0,0.9,60.17,-5.2,0.0
297,0,0,1.0,60.24,-5.2,0.0
298,0,0,1.1,55.32,-5.2,0.0
299,0,0,1.2,54.08,-4.9,0.0
300,0,0,1.2,48.47,-4.5,0.0
301,12,69,1.4,43.0,-2.9,1.313912159
302,38,478,1.5,34.31,-1.3,9.197223392
303,45,739,1.5,30.76,0.2,19.61416329
304,52,863,1.5,27.4,1.7,30.21845198
305,58,927,1.9,25.34,2.8,40.16565557
